Title,Price,Beds,SQFT,Date Listed,Link
"Walk-In Closets, Pet Stations, New Washers & Dryers in Every Unit",$1039,1br,920ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/duluth-walk-in-closets-pet-stations-new/7135987417.html
Fully Furnished 25th floor Viewpoint 1/1 Rental available for lease!,$2000,1br,808ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-fully-furnished-25th-floor/7143164791.html
"On-site Management, New Fitness center, Accepts Electronic Payments",$889,1br,710ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/duluth-on-site-management-new-fitness/7138831641.html
"On-site Management, Rec Room, Freeway Access",$1775,3br,1350ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-on-site-management-rec-room/7140723349.html
"Washer/Dryer in Select Homes, Plank Wood Vinyl Flooring, Tennis Court",$1164,1br,1005ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-washer-dryer-in-select-homes/7134560523.html
"Pet Friendly, Resort Style Pool, Ceiling Fans",$1410,2br,1100ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-pet-friendly-resort-style-pool/7135941412.html
"Luxury home, Sky Lounge with Breathtaking Views, and Bark Park",$1760,2br,1084ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-luxury-home-sky-lounge-with/7138256295.html
1X1 APARTMENT FLAT AVAILABLE JULY 15TH!!!,$825,N/A,Not Available,Jun 16,https://atlanta.craigslist.org/atl/apa/d/clarkston-1x1-apartment-flat-available/7135263882.html
"1 Bed/1 Bath, in Atlanta with Storage units available",$1522,1br,683ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bed-1-bath-in-atlanta-with/7139397502.html
"Outdoor Covered BBQ, Fireplace, Wheelchair Accessible",$1180,1br,740ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-outdoor-covered-bbq-fireplace/7136914460.html
"24-Hour Availability, New Fitness center, Short Term Lease",$1099,2br,1200ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/duluth-24-hour-availability-new-fitness/7133550626.html
"Nine-Foot and Ten-Foot Ceilings, Valet Trash and Recycling, Sundeck",$2035,3br,1438ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-nine-foot-and-ten-foot-ceilings/7140680718.html
"2 Bed - 1 Bath, Car Wash Station, Business Center",$1395,2br,970ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-2-bed-1-bath-car-wash-station/7139423427.html
Apply Immediately! Spacious Three Bed And One Bath!,$500,3br,1255ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-apply-immediately-spacious/7143097872.html
LOCATION! LOCATION! LOCATION! @Beltline & Ponce City Market ☎🏙❤🙌,$1369,1br,650ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-location-location-location/7132284299.html
"New online services, Leash-free dog park, Upgraded hardware",$1010,2br,885ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/douglasville-new-online-services-leash/7140736537.html
"Cable ready, Laundry center, On-site maintenance",$1015,1br,900ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-cable-ready-laundry-center-on/7135975411.html
NOW LEASING FOR FALL 2020!! Secure your savings today!,$729,4br,1460ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-now-leasing-for-fall-2020/7132548825.html
"Ceiling Fans, Award Winning Management Team, Modern Lighting Fixtures",$1263,1br,850ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-ceiling-fans-award-winning/7127302737.html
Love This Location! 3 Bed And 2 Bath! |don't Miss Out| |apply Immediat,$650,3br,1885ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-love-this-location-3-bed-and-2/7143097856.html
"Storage, Patio, Additional Storage",$2600,3br,2000ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-storage-patio-additional-storage/7141708005.html
"GOFetch Dog Park, Online Business Portal, Two Swimming Pools",$1002,1br,700ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-gofetch-dog-park-online/7139462692.html
1X1 APARTMENT FLAT AVAILABLE JULY 15TH!!!,$825,N/A,Not Available,Jun 16,https://atlanta.craigslist.org/atl/apa/d/clarkston-1x1-apartment-flat-available/7138701348.html
Magnificent May Move In Special!! Call for details on 1 month FREE!,$1565,2br,1186ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-magnificent-may-move-in-special/7131218845.html
"Carpeting, Refrigerator, Ceiling fan",$1050,1br,900ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-carpeting-refrigerator-ceiling/7140360177.html
Newly Renovated 1st Floor 1BR/1BA!,$750,N/A,N/A,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-newly-renovated-1st-floor-1br/7143072257.html
"Master suite with attached bathroom. Backyard with large deck, great!!",$850,4br,1362ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/marietta-master-suite-with-attached/7140528271.html
"Vaulted Ceilings, Ceiling Fans, 24 Hour Emergency Maintenance",$1263,2br,1000ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-vaulted-ceilings-ceiling-fans/7140727088.html
"Cable Ready, Fireplace, Dog Park",$1320,2br,1330ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/duluth-cable-ready-fireplace-dog-park/7127557028.html
"Clubhouse and Business Center, High Speed Internet Access, Dishwasher",$1124,3br,1608ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/red-oak-clubhouse-and-business-center/7134646719.html
"At Richmond Hill...Close to Entertainment, Quiet at Home",$785,1br,900ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-at-richmond-hillclose-to/7143099253.html
Make this home yours today!,$850,3br,2767ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/lawrenceville-make-this-home-yours-today/7143106949.html
"Soccer Field, View, Hardwood Floor",$1099,2br,1200ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/duluth-soccer-field-view-hardwood-floor/7140064605.html
3br - 3 Bedroom 1 Bath All Utilities for rent in Atlanta $750,$750,N/A,N/A,Jun 16,https://atlanta.craigslist.org/atl/apa/d/smyrna-3br-3-bedroom-1-bath-all/7135625440.html
"Newly Renovated, STUDIO Apartment",$1000,1br,500ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-newly-renovated-studio-apartment/7143114681.html
"Modern Conveniences & Entertainment, All Within Your Reach.",$940,1br,600ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/red-oak-modern-conveniences/7134810831.html
Now available for immediate move in,$875,3br,140800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/decatur-now-available-for-immediate/7141685178.html
"Kitchen entertainment bar, Private balconies, Luxurious roman tubs",$1170,2br,1165ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/austell-kitchen-entertainment-bar/7131181121.html
"Views, Clubhouse, Close to Shopping",$959,2br,1000ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/riverdale-views-clubhouse-close-to/7140706235.html
"Community Clubhouse, Pet Friendly, Online Business Portal",$1020,1br,600ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-community-clubhouse-pet/7138077572.html
"Dual entries, Playground, Pet Friendly",$1225,2br,1083ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/smyrna-dual-entries-playground-pet/7140981216.html
"24-Hour Availability, Basketball Court(s), Covered Parking",$2095,3br,1700ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-24-hour-availability-basketball/7140723375.html
"Designer lighting, Play park, Additional storage",$1290,2br,1005ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/douglasville-designer-lighting-play/7134639713.html
$1269!! 🏙️ COOL LOFT 😎 HOT LOCATION 🔥🔥,$1269,1br,550ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-cool-loft-hot-location/7139490610.html
Move In Special,$1,N/A,N/A,Jun 16,https://atlanta.craigslist.org/atl/apa/d/move-in-special/7140208123.html
"Resort style swimming pool, Play park, 24-hour cyber cafe",$920,1br,689ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/douglasville-resort-style-swimming-pool/7135884125.html
..Newly renovated 2 brm 1st floor apartment!.,$750,N/A,N/A,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-newly-renovated-2-brm-1st-floor/7143082034.html
Second floor @ bed room 2 bathroom,$1577,N/A,Not Available,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-second-floor-bed-room-2-bathroom/7143104896.html
"Pet Friendly Community, New Renovations, Perfectly Located in Midtown",$1315,2br,1000ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-pet-friendly-community-new/7136299081.html
"Cable Ready, Private Patio, Refrigerator",$1104,1br,920ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/duluth-cable-ready-private-patio/7126830908.html
"Air conditioner, Wheelchair access, Stainless steel appliances",$1290,2br,1175ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-air-conditioner-wheelchair/7140358185.html
"Fitness focus, pet loving, resident oriented community",$1149,N/A,Not Available,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-fitness-focus-pet-loving/7143067308.html
"Cable/Satellite, Range, Wheelchair Accessible",$1049,2br,1034ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/duluth-cable-satellite-range-wheelchair/7140064564.html
1X1 APARTMENT FLAT AVAILABLE JULY 15TH!!!,$825,N/A,Not Available,Jun 16,https://atlanta.craigslist.org/atl/apa/d/clarkston-1x1-apartment-flat-available/7138701370.html
"Sky Lounge with Breathtaking Views, Controlled Access, Valet Trash",$1785,2br,1074ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-sky-lounge-with-breathtaking/7129186549.html
"Ceramic tile flooring in baths, Recycling center, Crown molding",$2218,2br,1058ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-ceramic-tile-flooring-in-baths/7139432507.html
A Step Above The Rest!,$1413,N/A,Not Available,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-step-above-the-rest/7143071222.html
A Step Above The Rest!,$1117,N/A,Not Available,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-step-above-the-rest/7143062062.html
"Laundry Facility, Refrigerator, Air Conditioning",$1135,1br,635ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-laundry-facility-refrigerator/7131715946.html
Good house,$1095,3br,1976ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/kennesaw-good-house/7143092764.html
1 bed near emory and the cdc,$1245,1br,1005ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bed-near-emory-and-the-cdc/7140718008.html
3Bdrm2Bth w/Lots of Closet Space Just For You!!,$1237,3br,1300ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-3bdrm2bth-lots-of-closet-space/7135985610.html
Join the Gables' Family!,$1352,N/A,Not Available,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-join-the-gables-family/7143068805.html
Welcome to 582 Twin Oaks Ln Dallas GA 30157,$1250,3br,1244ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/dallas-welcome-to-582-twin-oaks-ln/7138917344.html
"BBQ & Picnic Area, Playground, Online Business Portal",$1784,1br,Not Available,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-bbq-picnic-area-playground/7140686310.html
"Online Payments Available, 24-Hour Availability, Washer/Dryer Hookup",$920,1br,810ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/duluth-online-payments-available-24/7143053066.html
"Right Around the Corner, Near Everywhere You Want to Be.",$1008,2br,865ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-right-around-the-corner-near/7135969908.html
"City of Decatur Schools, Spacious, Renovated 3/2 Apartment",$1850,3br,1650ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/decatur-city-of-decatur-schools/7143088397.html
"Resort style swimming pool, 24-hour fitness studio, 24-hour cyber cafe",$1100,2br,880ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/douglasville-resort-style-swimming-pool/7140599761.html
"Paw Park, Dishwasher, Wheelchair Accessible",$1256,1br,887ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-paw-park-dishwasher-wheelchair/7129725557.html
"Professional Chef's Kitchen, Built-In Computer Nook, Garden Tubs",$1655,2br,1280ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-professional-chefs-kitchen/7141760615.html
"2 Bed - 2 Bath, Stainless Steel Appliances, Covered Parking",$1850,2br,1263ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-2-bed-2-bath-stainless-steel/7139140986.html
Amazingly remodeled 2 Bedroom/1 Bath Apartment $1300,$1300,2br,Not Available,Jun 16,https://atlanta.craigslist.org/atl/apa/d/decatur-amazingly-remodeled-2-bedroom-1/7136329344.html
"Online Payments Available, Business Center, Two Acre Lake",$920,1br,810ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/duluth-online-payments-available/7138832763.html
"Business Center, Free Weights Available, Two Acre Lake",$1099,2br,1200ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/duluth-business-center-free-weights/7143053030.html
1Bdrm1Bth w/Lots of Closet Space Just For You!!,$940,1br,700ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1bdrm1bth-lots-of-closet-space/7134248246.html
"Tennis Court, Washer/Dryer in Select Homes, Resort Style Pool",$1452,1br,1355ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-tennis-court-washer-dryer-in/7143079710.html
Ready for move in single family house for rent in Lawrenceville,$900,3br,1260ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/lawrenceville-ready-for-move-in-single/7143079213.html
"Outdoor Kitchen, Sky Lounge with Breathtaking Views, Valet Trash",$1606,2br,1020ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-outdoor-kitchen-sky-lounge-with/7143074232.html
West midtown hidden gem,$1299,N/A,Not Available,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-west-midtown-hidden-gem/7143042226.html
"Refrigerator, Upgraded Cabinetry, Walk-In Closets",$975,1br,750ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/duluth-refrigerator-upgraded-cabinetry/7140072827.html
"Luxury home, Sky Lounge with Breathtaking Views, and Bark Park",$1735,2br,1084ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-luxury-home-sky-lounge-with/7133162099.html
NOW LEASING FOR FALL 2020!! Secure your savings today!,$919,2br,900ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-now-leasing-for-fall-2020/7143077106.html
"Complimentary Wi-Fi at Pool and Clubhouse, Pantry, Walk-In Closets",$1413,2br,1343ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-complimentary-wi-fi-at-pool-and/7140416376.html
✨✨URBAN LOFT ON THE BELTLINE! ✨✨,$1469,1br,750ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-urban-loft-on-the-beltline/7133162302.html
"Sand Volleyball Court, Picnic & BBQ Areas, Granite Counter Tops",$1053,1br,Not Available,Jun 16,https://atlanta.craigslist.org/atl/apa/d/roswell-sand-volleyball-court-picnic/7143075594.html
"Resort-Inspired Heated Pool, Pool Table, Walk-In Closets",$1355,1br,854ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-resort-inspired-heated-pool/7136240327.html
"Quartz Countertops, COMING SOON: New Clubhouse, Vaulted Ceilings",$1062,1br,550ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-quartz-countertops-coming-soon/7135086521.html
Love Where You Live! We can get you into your NEW PLACE ASAP!,$1237,3br,1300ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-love-where-you-live-we-can-get/7135983626.html
"Air Conditioner, Outdoor Kitchen And Grilling Station, Refrigerator",$1049,2br,1034ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/duluth-air-conditioner-outdoor-kitchen/7143053009.html
Everything You Need Is Right Here @ Las Palmas!!,$1372,3br,1300ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-everything-you-need-is-right/7136447935.html
Gaga Would Go GA-GA for Our Apartments! Check for Yourself!,$0,N/A,N/A,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-gaga-would-go-ga-ga-for-our/7143072074.html
"Stainless Steel Appliances, Resort Style Pool, Vaulted Ceilings",$1425,1br,Not Available,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-stainless-steel-appliances/7131730733.html
"Microwave, Night Patrol, Storage",$1775,3br,1350ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-microwave-night-patrol-storage/7143071742.html
"Heating and Air Conditioning, Lake Front Views, Outdoor Swimming pool",$1064,3br,1126ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/marietta-heating-and-air-conditioning/7143071737.html
"Business Center, Pool, Clubhouse",$1275,2br,1152ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-business-center-pool-clubhouse/7138618744.html
"At Last, This Is What You've Been Searching 🔍 For !",$982,1br,592ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-at-last-this-is-what-youve-been/7143071480.html
Now Offering Self Guided and In Person Touring Options! Call Today!,$0,N/A,N/A,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-now-offering-self-guided-and-in/7143071205.html
Everything You Need. All Right Here. Call Us TODAY!!,$1008,2br,865ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-everything-you-need-all-right/7135965278.html
"Cable/Satellite, Washer/Dryer, Basketball Court(s)",$2095,3br,1700ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-cable-satellite-washer-dryer/7143070996.html
"Washer and Dryer Included, Stainless Steel Appliances, Tranquil Views",$953,1br,800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-washer-and-dryer-included/7131808096.html
July rent free if move in by 6/29,$1240,1br,756ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-july-rent-free-if-move-in-by-6/7143070366.html
"Garbage Disposal, Community Farm, Granite Counter-tops",$985,2br,1222ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/red-oak-garbage-disposal-community-farm/7135961816.html
You'll Love This Spacious 2/2 with a Great View!,$1456,N/A,Not Available,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-youll-love-this-spacious-2-2/7143070214.html
&!!#>//*BOOST YOUR CREDIT GET APPROVED WITH CPN AND MORE&!!#>//*,$55,N/A,N/A,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-boost-your-credit-get-approved/7141403852.html
"GWINNETT COUNTY APTS , CLOSE ACCES TO MAJOR HIGHWAYS AND SHOPPES",$950,N/A,N/A,Jun 16,https://atlanta.craigslist.org/atl/apa/d/norcross-gwinnett-county-apts-close/7143069461.html
Norcross Apartments one and two spacious bedrooms.,$950,N/A,N/A,Jun 16,https://atlanta.craigslist.org/atl/apa/d/norcross-norcross-apartments-one-and/7143068896.html
"GOFit Fitness Center, Outdoor Grills, Garages Available",$1280,2br,1262ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-gofit-fitness-center-outdoor/7143033291.html
Luxurious 3 Bedrooms Available!,$960,3br,1200ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/austell-luxurious-3-bedrooms-available/7143068388.html
"Wheelchair Accessible, Microwave, Fireplace",$2600,3br,2000ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-wheelchair-accessible-microwave/7143068350.html
"Crown molding accents, Two inch blinds, Leash-free dog park",$1095,2br,1005ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/douglasville-crown-molding-accents-two/7140687321.html
SPACIOUS FLOORPLANS AND GREAT PRICES!,$950,N/A,N/A,Jun 16,https://atlanta.craigslist.org/atl/apa/d/norcross-spacious-floorplans-and-great/7143068035.html
Gorgeous 1 & 2 Bedrooms Available Now! Schedule Your Tour Today!,$0,N/A,N/A,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-gorgeous-1-2-bedrooms-available/7143067836.html
"Heated Indoor pool, Outdoor Swimming pool, Natural Park Like Setting",$892,3br,1126ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/marietta-heated-indoor-pool-outdoor/7138131913.html
"Air Conditioner, Rec Room, Controlled Access",$1360,2br,990ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-air-conditioner-rec-room/7143067377.html
"Window Coverings, Hardwood Floor, Short Term Lease",$1440,2br,1238ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-window-coverings-hardwood-floor/7143050140.html
"Hardwood Flooring, Tax Credit Subsidies, Range",$1260,2br,1175ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-hardwood-flooring-tax-credit/7143052004.html
"Outdoor Grills, GOChat Business Center, Car Care Center",$1250,2br,1174ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-outdoor-grills-gochat-business/7138901373.html
$950 1Bed/1Bath- 824sqft - Move Ins Available  - Norcross Location,$950,N/A,N/A,Jun 16,https://atlanta.craigslist.org/atl/apa/d/norcross-950-1bed-1bath-824sqft-move/7143067086.html
!!)(::ONE STORY home with GARAGE and all RE-DONE and ready!*!*,$1200,3br,1244ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-one-story-home-with-garage-and/7143012822.html
"1 bedrooms  (water, trash and pest control included)",$1014,1br,800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bedrooms-water-trash-and-pest/7143062939.html
"Controlled Access, Disposal, Additional Storage",$2095,3br,1700ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-controlled-access-disposal/7141709345.html
"Large Closets, Elevator, Disability Access",$1500,2br,1100ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-large-closets-elevator/7143066293.html
COMFY ONE AND TWO BEDROOMS APARTMENTS.,$950,N/A,N/A,Jun 16,https://atlanta.craigslist.org/atl/apa/d/norcross-comfy-one-and-two-bedrooms/7143066106.html
"Available Now, Newly Updated and Move In Ready!",$1292,N/A,Not Available,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-available-now-newly-updated-and/7143066026.html
"Public Transportation, Wheelchair Accessible, Controlled Access",$1335,2br,1200ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-public-transportation/7143065639.html
"Soccer Field, TV Lounge, Range",$1099,1br,710ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/duluth-soccer-field-tv-lounge-range/7143053045.html
"Garages available by request, Laundry facilities, Gated entry",$1728,2br,1280ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-garages-available-by-request/7143064511.html
Who wouldn't want to live here?,$995,N/A,Not Available,Jun 16,https://atlanta.craigslist.org/atl/apa/d/mcdonough-who-wouldnt-want-to-live-here/7143056992.html
1 Bedroom apartment completely renovated W/D included save $500!!,$1135,1br,800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bedroom-apartment-completely/7132351806.html
2 Bedrooms W/ D hookups Renovated. Apply Now and Save $500.,$1175,2br,1200ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-2-bedrooms-d-hookups-renovated/7131941598.html
3 bedrooms $1518 W/D Hookup. Apply now and save $500.,$1518,3br,1600ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-3-bedrooms-1518-d-hookup-apply/7133022557.html
"1 Recamara Renovados (agua, basura incluido) Ahore hasta $500",$1014,1br,800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-recamara-renovados-agua/7138750667.html
"1 bedrooms $1014 water, trash and pest control included.",$1135,1br,800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bedrooms-1014-water-trash-and/7138616416.html
"2 Bedrooms Classic $1269 (water, trash included) Save $500 Now.",$1269,2br,1150ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-2-bedrooms-classic-1269-water/7135957866.html
"1 bedroom water,trash and pest control included",$1014,1br,800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bedroom-watertrash-and-pest/7141198358.html
"1 Bedroom $1014 (water, trash included)",$1135,1br,800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bedroom-1014-water-trash/7135959719.html
"1 Bedroom Renovated (water, trash and pest control included)",$1135,1br,800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bedroom-renovated-water-trash/7135041965.html
"3 bedrooms $1518 water,trash and pest control included.",$1518,3br,1350ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-3-bedrooms-1518-watertrash-and/7139484673.html
"1 Recamara Renovados (agua, basura incluido) Ahore hasta $500.",$1197,1br,800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-recamara-renovados-agua/7135236618.html
"2 bedrooms $1269 water, trash and pest control included",$1269,2br,1100ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-2-bedrooms-1269-water-trash-and/7140618038.html
"1 bedrooms $1014 water, trash and pest control.",$1014,1br,800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bedrooms-1014-water-trash-and/7140614834.html
"1 Recamara Renovados (agua, basura incluido) Ahore hasta $500",$1135,1br,800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-recamara-renovados-agua/7136484628.html
1 Bedroom apartment completely renovated W/D included save $500!!,$1135,1br,800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bedroom-apartment-completely/7136561402.html
"1 Bedroom $1269 water, trash and pest control included.",$1269,2br,1100ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bedroom-1269-water-trash-and/7138882969.html
"1 Bedroom Renovated $1197 (water, trash and pest control included)",$1135,1br,800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bedroom-renovated-1197-water/7134520124.html
"1 Bedroom $1197 (water,trash and pest control included)",$1135,1br,800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bedroom-1197-watertrash-and/7134660957.html
"3 Bedrooms $1518 W/D in Unit. (water, trash and pest control included)",$1518,3br,1600ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-3-bedrooms-1518-d-in-unit-water/7134682918.html
"1 bedroom $1014 (Water, trash and pest control included)",$1014,1br,800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bedroom-1014-water-trash-and/7135631104.html
"1 Bedroom Renovated $1197 (water, trash and pestcontrol included)",$1135,1br,800ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bedroom-renovated-1197-water/7134786153.html
"Microwave, Hardwood Floor, Accepts Electronic Payments",$1099,2br,1200ft2,Jun 16,https://atlanta.craigslist.org/atl/apa/d/duluth-microwave-hardwood-floor-accepts/7140664785.html
